"taxon.name","X","variable.units","variable.element","variable.context","taxon.group","site.id","site.name","long","lat","iteration","age.older","age.younger","order","family","genus","NA"
"Alilepus browni",42874,"present/absent","bone",NA,"Mammals",14350,"Anita [UALP 7202]",-112.248055555556,35.8619444444444,3572,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus browni"
"Alilepus sp.",43475,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus sp."
"Alilepus vagus",43476,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus vagus"
"Alilepus wilsoni",43484,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Lagomorpha","Leporidae","Alilepus","Alilepus wilsoni"
"Aluralagus virginiae",43371,"present/absent","bone",NA,"Mammals",14433,"San Simon Power Line",-109.483611111111,32.5783333333333,3653,NA,NA,"Lagomorpha","Leporidae","Aluralagus","Aluralagus virginiae"
"Antecalomys vasquezi",43548,"present/absent","bone",NA,"Mammals",14449,"Upper Alturas [UO Loc 2424; CAS Loc 36805]",-120.541388888889,41.4872222222222,3669,NA,NA,"Rodentia","Cricetidae","Antecalomys","Antecalomys vasquezi"
"Antilocapra sp.",24954,"NISP","bone/tooth",NA,"Mammals",5031,"Garnsey Spring Campsite [LA 18400]",-104.25,33.25,1754,1050,550,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Antilocapra sp.",8986,"present/absent","bone/tooth",NA,"Mammals",3918,"McKensey Village [39AR201]",-100.5,44.75,441,1000,500,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Antilocapra sp.",8377,"NISP","bone/tooth",NA,"Mammals",3883,"Elliott [14GE303]",-96.6166666666667,39.0333333333333,396,1935,1935,"Cetartiodactyla","Antilocapridae","Antilocapra","Antilocapra sp."
"Arctisorex polaris",40064,"present/absent","bone/tooth",NA,"Mammals",10042,"Strathcona Fjord Beaver Pond",-82.3666666666667,78.55,3312,NA,NA,"Insectivora","Soricidae","Arctisorex","Arctisorex polaris"
"Arctisorex polaris",40063,"NISP","mandibular ramus, teeth; left; posterior",NA,"Mammals",10042,"Strathcona Fjord Beaver Pond",-82.3666666666667,78.55,3312,NA,NA,"Insectivora","Soricidae","Arctisorex","Arctisorex polaris"
"Arctodus A. pristinus",43396,"present/absent","bone",NA,"Mammals",14435,"Santa Fe River 1 (includes 1A & 1B)",-82.7833333333333,29.8333333333333,3655,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus A. pristinus"
"Arctodus pristinus",38767,"present/absent","bone/tooth",NA,"Mammals",6382,"Carroll Cave [VP-689]",-92.5,37.75,3177,110000,1,"Carnivora","Ursidae","Arctodus","Arctodus pristinus"
"Arctodus pristinus",40942,"present/absent","bone/tooth",NA,"Mammals",10533,"Samwel Cave",-122.2318,40.9171,3358,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus pristinus"
"Arctodus pristinus",26642,"present/absent","bone/tooth",NA,"Mammals",5154,"Sebastian Canal",-80.5166666666667,27.8333333333333,1892,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus pristinus"
"Arctodus pristinus",26695,"present/absent","bone/tooth",NA,"Mammals",5156,"Waccasassa River 2B and 3A",-82.6166666666667,29.25,1894,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus pristinus"
"Arctodus pristinus",38763,"present/absent","bone/tooth",NA,"Mammals",6381,"Perkins Cave",-92.5,37.75,3176,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus pristinus"
"Arctodus simus",42903,"present/absent","bone",NA,"Mammals",14358,"Consolidated Pit 48 [FjPh-VP-3]",-113.283333333333,53.6416666666667,3580,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",6148,"present/absent","bone/tooth",NA,"Mammals",3683,"Cueva Quebrada [41VV162A]",-101.4,29.7333333333333,182,14300,12280,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40323,"NISP","tooth",NA,"Mammals",4257,"Friesenhahn Cave",-98.3666666666667,29.6166666666667,3333,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",16854,"MNI","bone/tooth",NA,"Mammals",4549,"Monroc Kearns Gravel Pit [Monroc Kearns Pit]",-112,40.6166666666667,1152,14500,11000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",1312,"MNI","bone/tooth",NA,"Mammals",3565,"Bat Cave (US:Missouri:Pulaski)",-92.25,37.8666666666667,42,35000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",24765,"NISP","bone/tooth",NA,"Mammals",5025,"Rainbow Beach [ISUM 72003]",-112.716666666667,42.8833333333333,1734,33000,21000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",42891,"present/absent","bone",NA,"Mammals",14355,"Clover Bar [FjPh-VP-2]",-113.316666666667,53.5972222222222,3577,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",3535,"MNI","bone/tooth",NA,"Mammals",3565,"Bat Cave (US:Missouri:Pulaski)",-92.25,37.8666666666667,42,35000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",16855,"NISP","bone/tooth",NA,"Mammals",4549,"Monroc Kearns Gravel Pit [Monroc Kearns Pit]",-112,40.6166666666667,1152,14500,11000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",22114,"present/absent","bone/tooth",NA,"Mammals",4865,"Rancho La Brea",-118.355995,34.062945,1507,32000,26000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",14000,"present/absent","bone/tooth",NA,"Mammals",4289,"Mammoth Site of Hot Springs",-103.533333333333,43.4666666666667,846,26075,26075,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40322,"NISP","metacarpal, third",NA,"Mammals",4257,"Friesenhahn Cave",-98.3666666666667,29.6166666666667,3333,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",38808,"present/absent","bone/tooth",NA,"Mammals",6394,"PM 24880 Arctodus",-86.1166666666667,41,3189,11500,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",22239,"present/absent","bone/tooth",NA,"Mammals",4870,"Big Bear [TMM 40919]",-103.25,34.3666666666667,1513,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",35722,"NISP","bone/tooth",NA,"Mammals",6077,"Powder Mill Creek Cave",-91.1166666666667,37.1166666666667,2856,110000,1,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",1313,"NISP","bone/tooth",NA,"Mammals",3565,"Bat Cave (US:Missouri:Pulaski)",-92.25,37.8666666666667,42,35000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",25501,"NISP","bone/tooth",NA,"Mammals",5081,"Spaulding [10NP108]",-116.75,46.3666666666667,1806,950,450,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",1539,"present/absent","bone/tooth",NA,"Mammals",3568,"Potter Creek Cave [5357,1055]",-122.280833333333,40.7838888888889,45,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",3762,"present/absent","bone/tooth",NA,"Mammals",3568,"Potter Creek Cave [5357,1055]",-122.280833333333,40.7838888888889,45,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",17740,"present/absent","bone/tooth",NA,"Mammals",4624,"Fossil Lake",-120.366666666667,43.25,1227,65000,35000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",28022,"present/absent","bone/tooth",NA,"Mammals",5261,"American Falls",-112.866666666667,42.75,2007,125000,75000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",3536,"NISP","bone/tooth",NA,"Mammals",3565,"Bat Cave (US:Missouri:Pulaski)",-92.25,37.8666666666667,42,35000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",35721,"MNI","bone/tooth",NA,"Mammals",6077,"Powder Mill Creek Cave",-91.1166666666667,37.1166666666667,2856,110000,1,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",42895,"present/absent","bone",NA,"Mammals",14356,"Consolidated Pit 45",-113.675,53.8083333333333,3578,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",43065,"present/absent","bone",NA,"Mammals",14406,"Bliss Pit",-103.8,50.7666666666667,3626,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",35429,"MNI","bone/tooth",NA,"Mammals",6043,"West Cave",-92.25,37.6166666666667,2820,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40312,"NISP","tooth, first molar; lower",NA,"Mammals",10127,"Island Ford Cave",-79.9294444444444,37.7811111111111,3331,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",35725,"present/absent","bone/tooth",NA,"Mammals",6078,"Round Spring Cavern",-91.3666666666667,37.25,2857,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",2987,"present/absent","bone/tooth",NA,"Mammals",3552,"Little Box Elder Cave [48CO287]",-105.616666666667,42.6166666666667,27,24000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",19243,"present/absent","bone/tooth",NA,"Mammals",4703,"U-Bar Cave [LA5689]",-108.4337,31.4745,1334,40000,25000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",13601,"present/absent","bone/tooth",NA,"Mammals",4257,"Friesenhahn Cave",-98.3666666666667,29.6166666666667,813,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",2632,"present/absent","bone/tooth",NA,"Mammals",3543,"Lubbock Lake [41LU1]",-101.892083333333,33.6204166666667,13,2070,870,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",28010,"MNI","bone/tooth",NA,"Mammals",5258,"Labor-of-Love Cave",-114.5,39.3666666666667,2004,35000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",25276,"NISP","bone/tooth",NA,"Mammals",5066,"Huntington Dam",-111.2617,39.58512,1792,11500,11000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",764,"present/absent","bone/tooth",NA,"Mammals",3552,"Little Box Elder Cave [48CO287]",-105.616666666667,42.6166666666667,27,24000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",409,"present/absent","bone/tooth",NA,"Mammals",3543,"Lubbock Lake [41LU1]",-101.892083333333,33.6204166666667,13,2070,870,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",3085,"present/absent","bone/tooth",NA,"Mammals",3554,"Natural Trap Cave",-108.116666666667,44.8666666666667,29,10000,1,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",862,"present/absent","bone/tooth",NA,"Mammals",3554,"Natural Trap Cave",-108.116666666667,44.8666666666667,29,10000,1,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",22772,"present/absent","bone/tooth",NA,"Mammals",4904,"McKittrick [UCMP 1370]",-119.616666666667,35.3166666666667,1548,40000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",39714,"NISP","ulna; right","redeposited","Mammals",7530,"Cowichan Head",-123.366666666667,48.55,3273,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",32351,"present/absent","bone/tooth",NA,"Mammals",5708,"Sheriden Pit [Indian Trail Caverns]",-83.3666666666667,40.8666666666667,2475,14000,11700,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",22742,"present/absent","bone/tooth",NA,"Mammals",4903,"Maricopa [Maricopa Brea] [LACM 6731]",-119.366666666667,35,1547,40000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",17163,"present/absent","bone/tooth",NA,"Mammals",4576,"Huntington Reservoir Sinkhole",-111.25,39.5,1179,11000,10000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40325,"present/absent","bone/tooth",NA,"Mammals",4257,"Friesenhahn Cave",-98.3666666666667,29.6166666666667,3333,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",35430,"NISP","bone/tooth",NA,"Mammals",6043,"West Cave",-92.25,37.6166666666667,2820,110000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40311,"NISP","tooth, second molar; lower right",NA,"Mammals",10126,"Gittin Down Mountain Cave",-94.7402194444444,35.7650916666667,3330,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",648,"present/absent","bone/tooth",NA,"Mammals",3549,"Jaguar Cave [Cave No. 2]",-112.915277777778,44.2813888888889,24,35000,7000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",40324,"NISP","tooth, third molar; lower",NA,"Mammals",4257,"Friesenhahn Cave",-98.3666666666667,29.6166666666667,3333,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",25275,"MNI","bone/tooth",NA,"Mammals",5066,"Huntington Dam",-111.2617,39.58512,1792,11500,11000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",22565,"present/absent","bone/tooth",NA,"Mammals",4889,"Lake Manix [Camp Cady Local Fauna]",-116.5,34.8666666666667,1533,50000,15000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",2871,"present/absent","bone/tooth",NA,"Mammals",3549,"Jaguar Cave [Cave No. 2]",-112.915277777778,44.2813888888889,24,35000,7000,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus simus",29773,"present/absent","bone/tooth",NA,"Mammals",5460,"West Point Gravel Pit [USNM-CM3]",-96.6166666666667,41.8666666666667,2213,65000,11500,"Carnivora","Ursidae","Arctodus","Arctodus simus"
"Arctodus sp.",6774,"present/absent","bone/tooth",NA,"Mammals",3710,"Prospects Shelter [48BH305]",-108.116666666667,44.8666666666667,211,13500,10005,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",15429,"present/absent","bone/tooth",NA,"Mammals",4420,"Frankstown Cave",-78.25,40.3666666666667,1009,13740,13740,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",19156,"present/absent","bone/tooth",NA,"Mammals",4697,"Isleta Cave No. 1 [UTEP42]",-106.75,34.8666666666667,1328,20000,1,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",22080,"present/absent","bone/tooth",NA,"Mammals",4865,"Rancho La Brea",-118.355995,34.062945,1505,12500,11500,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",22097,"present/absent","bone/tooth",NA,"Mammals",4865,"Rancho La Brea",-118.355995,34.062945,1506,34000,27000,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",18709,"present/absent","bone/tooth",NA,"Mammals",4693,"Burnet Cave",-104.75,32.3666666666667,1313,11300,10900,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",19193,"present/absent","bone/tooth",NA,"Mammals",4698,"Isleta Cave No. 2 [UTEP46]",-106.75,34.8666666666667,1329,20000,1,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",22068,"present/absent","bone/tooth",NA,"Mammals",4865,"Rancho La Brea",-118.355995,34.062945,1504,27000,23000,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Arctodus sp.",43385,"present/absent","bone",NA,"Mammals",14433,"San Simon Power Line",-109.483611111111,32.5783333333333,3653,NA,NA,"Carnivora","Ursidae","Arctodus","Arctodus sp."
"Atopomys texensis",33470,"present/absent","bone/tooth",NA,"Mammals",5782,"New Trout Cave",-79.3688888888889,38.6027777777778,2551,NA,NA,"Rodentia","Muridae","Atopomys","Atopomys texensis"
"Aztlanolagus agilis",19245,"present/absent","bone/tooth",NA,"Mammals",4703,"U-Bar Cave [LA5689]",-108.4337,31.4745,1334,40000,25000,"Lagomorpha","Leporidae","Aztlanolagus","Aztlanolagus agilis"
"Aztlanolagus agilis",18513,"present/absent","bone/tooth",NA,"Mammals",4685,"Papago Springs Cave",-110.616666666667,31.6166666666667,1300,NA,NA,"Lagomorpha","Leporidae","Aztlanolagus","Aztlanolagus agilis"
"Baiomys minimus",43187,"present/absent","bone",NA,"Mammals",14413,"Duncan",-109.104722222222,32.7213888888889,3633,NA,NA,NA,NA,NA,NA
"Bassariscus casei",43485,"present/absent","bone",NA,"Mammals",14443,"Taunton [UWBM Locality A9326]",-119.344444444444,46.8030555555556,3663,NA,NA,"Carnivora","Procyonidae","Bassariscus","Bassariscus casei"
"Bensonomys sp.",43049,"present/absent","bone",NA,"Mammals",14405,"Carter Quarry [Mount Blanco]",-101.192777777778,33.8155555555556,3625,NA,NA,"Rodentia","Muridae","Bensonomys","Bensonomys sp."
"Bison alaskensis",7400,"present/absent","bone/tooth",NA,"Mammals",3803,"Burnham Site [34WO073]",-99,36.75,305,26820,11580,"Cetartiodactyla","Bovidae","Bison","Bison alaskensis"
"Bison alaskensis",28072,"present/absent","bone/tooth",NA,"Mammals",5261,"American Falls",-112.866666666667,42.75,2007,125000,75000,"Cetartiodactyla","Bovidae","Bison","Bison alaskensis"
"Bison antiquus",43833,"MNI","bone",NA,"Mammals",16018,"The Mill Iron Site [24CT30]",-104.064166666667,45.825,3716,NA,NA,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",18983,"present/absent","bone/tooth",NA,"Mammals",4694,"Dry Cave",-104.481944444444,32.3736111111111,1324,14470,10730,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",22748,"present/absent","bone/tooth",NA,"Mammals",4903,"Maricopa [Maricopa Brea] [LACM 6731]",-119.366666666667,35,1547,40000,10000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",22731,"present/absent","bone/tooth",NA,"Mammals",4902,"China Lake Locality LACM 7013",-117.616666666667,35.6166666666667,1546,20000,10000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",14449,"MNI","bone/tooth",NA,"Mammals",4330,"Kincaid Shelter [41UV2]",-99.4666666666667,29.3666666666667,918,15000,6020,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",2321,"present/absent","bone/tooth",NA,"Mammals",3534,"Selby",-102.25,39.8666666666667,4,11710,7880,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",33360,"present/absent","bone/tooth",NA,"Mammals",5770,"Hall's Cave [41KR474] [41229]",-99.5416666666666,30.1333333333333,2539,1100,200,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",20311,"present/absent","bone/tooth",NA,"Mammals",4764,"Milnesand [LA6209]",-103.25,33.6166666666667,1399,10000,8000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",22974,"present/absent","bone/tooth",NA,"Mammals",4924,"Teichart Gravel Pit [UCMPV69129]",-121.370277777778,38.535,1568,112000,67000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",2264,"MNI","bone/tooth",NA,"Mammals",3532,"Lindenmeier [5LR13]",-105,40.8666666666667,2,11200,8400,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",26804,"present/absent","bone/tooth",NA,"Mammals",5171,"Edisto Beach [Edisto Island]",-80.2833333333333,32.5166666666667,1909,120000,11500,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",41,"MNI","bone/tooth",NA,"Mammals",3532,"Lindenmeier [5LR13]",-105,40.8666666666667,2,11200,8400,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",38921,"present/absent","bone/tooth",NA,"Mammals",6402,"Duck Point [Carr-Trimble]",-112.866666666667,42.6166666666667,3197,72000,15000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",22943,"present/absent","bone/tooth",NA,"Mammals",4923,"Newport Bay Mesa [LACM 1066]",-117.866666666667,33.5833333333333,1567,130000,120000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",2265,"NISP","bone/tooth",NA,"Mammals",3532,"Lindenmeier [5LR13]",-105,40.8666666666667,2,11200,8400,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",18809,"present/absent","bone/tooth",NA,"Mammals",4694,"Dry Cave",-104.481944444444,32.3736111111111,1316,14470,10730,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",43834,"NISP","bone",NA,"Mammals",16018,"The Mill Iron Site [24CT30]",-104.064166666667,45.825,3716,NA,NA,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",42,"NISP","bone/tooth",NA,"Mammals",3532,"Lindenmeier [5LR13]",-105,40.8666666666667,2,11200,8400,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",22568,"present/absent","bone/tooth",NA,"Mammals",4889,"Lake Manix [Camp Cady Local Fauna]",-116.5,34.8666666666667,1533,50000,15000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",7104,"MNI","bone/tooth",NA,"Mammals",3757,"Horner [48PA29]",-109,44.5,258,8840,6876,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",98,"present/absent","bone/tooth",NA,"Mammals",3534,"Selby",-102.25,39.8666666666667,4,11710,7880,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",14592,"present/absent","bone/tooth",NA,"Mammals",4336,"Big Bone Lick Ken-1",-84.6166666666667,38.8666666666667,925,11500,1,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",9714,"present/absent","bone/tooth",NA,"Mammals",3965,"Crappie Hole [25KH104]",-101.866666666667,41.25,488,110000,11500,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",8413,"MNI","bone/tooth",NA,"Mammals",3886,"Trapshoot",-99.25,39.1166666666667,399,35000,10000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",43835,"present/absent","bone",NA,"Mammals",16018,"The Mill Iron Site [24CT30]",-104.064166666667,45.825,3716,NA,NA,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison antiquus",28064,"present/absent","bone/tooth",NA,"Mammals",5261,"American Falls",-112.866666666667,42.75,2007,125000,75000,"Cetartiodactyla","Bovidae","Bison","Bison antiquus"
"Bison bison antiquus",39989,"present/absent","vertebra, caudal",NA,"Mammals",10031,"White Mesa Mine",-106.8,35.5333333333333,3304,NA,NA,NA,NA,NA,NA
"Bison bison antiquus",5761,"present/absent","bone/tooth",NA,"Mammals",3664,"Howard Ranch",-99.75,34.3666666666667,152,16775,16775,NA,NA,NA,NA
"Bison bison antiquus",22845,"present/absent","bone/tooth",NA,"Mammals",4912,"Dudley Ridge [Witt Site] [UCMPV75041]",-119.782777777778,35.9419444444444,1556,65000,11500,NA,NA,NA,NA
"Bison bison antiquus",57,"present/absent","bone/tooth",NA,"Mammals",3533,"Jones-Miller",-102.116666666667,39.8666666666667,3,10020,10020,NA,NA,NA,NA
"Bison bison antiquus",6685,"MNI","bone/tooth",NA,"Mammals",3705,"Agate Basin [48NO201]",-104.066666666667,43.3666666666667,206,10430,10220,NA,NA,NA,NA
"Bison bison antiquus",25156,"MNI","bone/tooth","articulated","Mammals",5054,"Dove Springs Lignites [4708/4709]",-118,35.4,1780,15000,10000,NA,NA,NA,NA
"Bison bison antiquus",27020,"present/absent","bone/tooth",NA,"Mammals",5181,"Arredondo 2A",-82.4,29.6166666666667,1919,120000,11500,NA,NA,NA,NA
"Bison bison antiquus",6717,"present/absent","bone/tooth",NA,"Mammals",3706,"Casper [48NA302]",-106.25,42.75,207,10060,9830,NA,NA,NA,NA
"Bison bison antiquus",26860,"present/absent","bone/tooth",NA,"Mammals",5174,"Reddick 1A",-82.1833333333333,29.3666666666667,1912,120000,11500,NA,NA,NA,NA
"Bison bison antiquus",122,"present/absent","bone/tooth",NA,"Mammals",3536,"Blackwater Draw Loc. 1",-103.316666666667,34.2833333333333,6,NA,NA,NA,NA,NA,NA
"Bison bison antiquus",16852,"MNI","bone/tooth",NA,"Mammals",4548,"Sorenson Construction Pit",-111.866666666667,40.6166666666667,1151,14500,11000,NA,NA,NA,NA
"Bison bison antiquus",16853,"NISP","bone/tooth",NA,"Mammals",4548,"Sorenson Construction Pit",-111.866666666667,40.6166666666667,1151,14500,11000,NA,NA,NA,NA
"Bison bison antiquus",35519,"NISP","bone/tooth",NA,"Mammals",1361,"Jones Spring",-93.35,38.066667,2822,160000,51000,NA,NA,NA,NA
"Bison bison antiquus",16856,"present/absent","bone/tooth",NA,"Mammals",4549,"Monroc Kearns Gravel Pit [Monroc Kearns Pit]",-112,40.6166666666667,1152,14500,11000,NA,NA,NA,NA
"Bison bison antiquus",27999,"MNI","bone/tooth",NA,"Mammals",5253,"Brooks Bison",-118.866666666667,39.6166666666667,1999,30000,10000,NA,NA,NA,NA
"Bison bison antiquus",40280,"NISP","skull",NA,"Mammals",10120,"Domenigoni Valley",-117.029166666667,33.5138888888889,3326,NA,NA,NA,NA,NA,NA
"Bison bison antiquus",26789,"present/absent","bone/tooth",NA,"Mammals",5169,"Hornsby Springs",-82.6,29.85,1907,20000,10000,NA,NA,NA,NA
"Bison bison antiquus",323,"MNI","bone/tooth",NA,"Mammals",3541,"Rex Rodgers [41BI42]",-101.366666666667,34.5,11,8985,8985,NA,NA,NA,NA
"Bison bison antiquus",324,"NISP","bone/tooth",NA,"Mammals",3541,"Rex Rodgers [41BI42]",-101.366666666667,34.5,11,8985,8985,NA,NA,NA,NA
"Bison bison antiquus",379,"present/absent","bone/tooth",NA,"Mammals",3543,"Lubbock Lake [41LU1]",-101.892083333333,33.6204166666667,13,2070,870,NA,NA,NA,NA
"Bison bison antiquus",19801,"present/absent","bone/tooth",NA,"Mammals",4722,"Sandia Cave",-106.4,35.2583333333333,1357,14000,10000,NA,NA,NA,NA
"Bison bison antiquus",11488,"present/absent","bone/tooth",NA,"Mammals",4091,"Fowler-Parrish",-104,40.25,614,10900,10500,NA,NA,NA,NA
"Bison bison antiquus",11496,"present/absent","bone/tooth",NA,"Mammals",4095,"Zapata",-105.616666666667,37.6166666666667,618,10900,10500,NA,NA,NA,NA
"Bison bison antiquus",17282,"MNI","bone/tooth",NA,"Mammals",4581,"Prescott",-118.25,46.25,1184,35000,10000,NA,NA,NA,NA
"Bison bison antiquus",2280,"present/absent","bone/tooth",NA,"Mammals",3533,"Jones-Miller",-102.116666666667,39.8666666666667,3,10020,10020,NA,NA,NA,NA
"Bison bison antiquus",22245,"present/absent","bone/tooth",NA,"Mammals",4871,"San Jon",-103.25,35,1514,10900,10500,NA,NA,NA,NA
"Bison bison antiquus",423,"present/absent","bone/tooth",NA,"Mammals",3544,"Dutton",-102.25,39.6166666666667,14,11710,7880,NA,NA,NA,NA
"Bison bison antiquus",12610,"present/absent","bone/tooth",NA,"Mammals",4173,"Plainview",-101.616666666667,34.1166666666667,708,9800,9800,NA,NA,NA,NA
